"state_fips","n_counties","mean_exp","median_exp"
"33",9,0.656243625614378,0.684741973876953
"55",60,0.653380738020254,0.619994461536407
"45",44,0.650231141597033,0.667925000190735
"09",7,0.647624960967473,0.650963425636292
"25",13,0.630046388277641,0.626381039619446
"42",60,0.61894852767388,0.611023604869843
"18",76,0.616605672985315,0.646454364061356
"39",71,0.616273607507768,0.661427915096283
"47",91,0.589466411129131,0.591861665248871
"44",4,0.588434457778931,0.61706817150116
"34",21,0.583559127081008,0.581427454948425
"37",79,0.583397338001788,0.580600917339325
"06",53,0.580865366560108,0.59906280040741
"24",24,0.57565707154572,0.577816605567932
"26",66,0.564688417834766,0.558541774749756
"10",3,0.552132308483124,0.486946731805801
"01",63,0.54694825227535,0.577889442443848
"50",12,0.526437148451805,0.500887259840965
"41",36,0.519872865898328,0.575160175561905
"36",61,0.507795108879199,0.504959046840668
"51",122,0.503354030065849,0.520103067159653
"53",38,0.501069360167572,0.486017033457756
"23",16,0.490161244757473,0.444784238934517
"13",150,0.485029636553178,0.500437676906586
"05",73,0.474848504484414,0.485345125198364
"27",84,0.474394198063584,0.486581444740295
"19",97,0.464595857354784,0.461487650871277
"17",97,0.436945162406287,0.457251369953156
"28",71,0.436282679071309,0.440771341323853
"49",24,0.432817306679984,0.401303455233574
"29",110,0.430136692269959,0.447179690003395
"21",113,0.430121173381608,0.453070163726807
"16",40,0.424680161545984,0.394034713506699
"12",67,0.41601921462301,0.444625705480576
"04",15,0.406431448397537,0.378124445676804
"22",61,0.388359857654413,0.3734031021595
"56",23,0.387031819833362,0.39303582906723
"54",55,0.360194108736786,0.344095796346664
"15",3,0.358864029248555,0.356378704309464
"48",230,0.35790681105269,0.347625836730003
"08",62,0.327359008903225,0.299258798360825
"20",100,0.312075234372169,0.249549694359303
"40",75,0.311314389494558,0.28307256102562
"35",32,0.271465808385983,0.261558666825294
"31",77,0.258436564767322,0.200386106967926
"32",17,0.251916476470583,0.108998879790306
"46",59,0.235394297562287,0.205483868718147
"02",21,0.211615258694759,0.229611039161682
"30",54,0.188453881139005,0.131342865526676
"38",49,0.167449562952911,0.148429036140442
"11",1,0.0816205143928528,0.0816205143928528
