"spec","term","b","se","p","sample"
"main_spec","inter",0.033214409631475,0.00655844661707163,4.33501151519788e-07,"full 2002-2019"
"dist_lag","inter",0.0151323150168435,0.0081497250869209,0.0634352714985149,"full 2002-2019"
"dist_lag","inter_lag1",0.039083123718336,0.00686369722056883,1.35450698697317e-08,"full 2002-2019"
"dist_lag","inter_lag2",0.0134261231951353,0.00615226238292813,0.0291611065946267,"full 2002-2019"
"dist_lag","inter_lag3",0.00438862356657363,0.00623689610911324,0.481700014090797,"full 2002-2019"
"dist_lag","inter_lag4",-0.0193914067666118,0.0105398092458423,0.0658886618622727,"full 2002-2019"
"rob_growth","inter",0.011573148122436,0.00223691708525076,2.43975978954177e-07,"full 2002-2019"
"placebo","inter",0.0252338105155138,0.00602517065932393,2.89115679545543e-05,"full 2002-2019"
"placebo","inter_lead1",0.015711010297842,0.00521276163869992,0.00259939442335781,"full 2002-2019"
"placebo","inter_lead2",0.0172350301773023,0.00549709898655699,0.00173274557229806,"full 2002-2019"
"placebo","inter_lead3",-0.0217115499340673,0.00431212050952381,5.04903191206816e-07,"full 2002-2019"
"placebo","inter_lead4",-0.00298559007594654,0.0097462630679395,0.759372448054377,"full 2002-2019"
"event_study","hi_lead4",0.0017016743481648,0.00191693549014257,0.374767433065591,"full 2002-2019"
"event_study","hi_lead3",-0.000984903166271101,0.00147407369979348,0.504086819717411,"full 2002-2019"
"event_study","hi_lead2",-0.00373006792067167,0.00289587576298392,0.197819670424187,"full 2002-2019"
"event_study","hi_inter",0.00295098600722576,0.00224630133693033,0.189040596078163,"full 2002-2019"
"event_study","hi_lag1",0.010772262845568,0.00198079104483964,5.79115246224245e-08,"full 2002-2019"
"event_study","hi_lag2",0.00199245221049186,0.00225388844711493,0.376760645428618,"full 2002-2019"
"event_study","hi_lag3",-0.000471781628956238,0.00140869687876636,0.73771814907201,"full 2002-2019"
"event_study","hi_lag4",-0.00351207556194657,0.00260111735182022,0.177043801996232,"full 2002-2019"
