"window","lead","b","se","t","p","lo","hi"
"full 2002-2019",1,0.015711010297842,0.00521276163869992,3.01395141132147,0.00257869101078458,0.00549418514540917,0.0259278354502749
"full 2002-2019",2,0.0172350301773023,0.00549709898655699,3.13529558398896,0.00171681031184315,0.00646091405921412,0.0280091462953905
"full 2002-2019",3,-0.0217115499340673,0.00431212050952381,-5.03500537290526,4.77835430543623e-07,-0.0301631508963956,-0.013259948971739
"full 2002-2019",4,-0.00298559007594654,0.0097462630679395,-0.306331776100697,0.759352047544684,-0.0220879148236375,0.0161167346717444
"excl 2009-2012",1,0.0146119404518559,0.00521211750079944,2.80345568756167,0.00505581793096385,0.00439637778651904,0.0248275031171928
"excl 2009-2012",2,0.0157202905395109,0.00553488451111914,2.84022015417487,0.00450824088971237,0.00487211615355978,0.026568464925462
"excl 2009-2012",3,-0.0225715793629075,0.00444152053841511,-5.08194866323004,3.73582389972028e-07,-0.0312767997234617,-0.0138663590023532
"excl 2009-2012",4,-0.00185555440284469,0.00977236326128596,-0.189877755588111,0.849404923823678,-0.0210090345898878,0.0172979257841984
