area_fips,cbsa,metro
17089,16980,True
17093,16980,True
18073,16980,True
18089,16980,True
18111,16980,True
18127,16980,True
17097,16980,True
55059,16980,True
06007,17020,True
39141,17060,False
18029,17140,True
18047,17140,True
18115,17140,True
18161,17140,True
21015,17140,True
21023,17140,True
21037,17140,True
21077,17140,True
21081,17140,True
21117,17140,True
21191,17140,True
39015,17140,True
39017,17140,True
39025,17140,True
39061,17140,True
39165,17140,True
54017,17220,False
54033,17220,False
54091,17220,False
28027,17260,False
21047,17300,True
21221,17300,True
47125,17300,True
47161,17300,True
06033,17340,False
28011,17380,False
47011,17420,True
47139,17420,True
39035,17460,True
39055,17460,True
39085,17460,True
39093,17460,True
39103,17460,True
12051,17500,False
19045,17540,False
35009,17580,False
72043,17620,False
72123,17640,False
16055,17660,True
20125,17700,False
26023,17740,False
48041,17780,True
48051,17780,True
48395,17780,True
08041,17820,True
08119,17820,True
29019,17860,True
29053,17860,True
29089,17860,True
45017,17900,True
45039,17900,True
45055,17900,True
45063,17900,True
45079,17900,True
45081,17900,True
01113,17980,True
13053,17980,True
13145,17980,True
13197,17980,True
13215,17980,True
13259,17980,True
13263,17980,True
18005,18020,True
28087,18060,False
31141,18100,False
39041,18140,True
39045,18140,True
39049,18140,True
39073,18140,True
39089,18140,True
39097,18140,True
39117,18140,True
39127,18140,True
39129,18140,True
39159,18140,True
33013,18180,False
18041,18220,False
47087,18260,False
47133,18260,False
47141,18260,False
41011,18300,False
13081,18380,False
28003,18420,False
13137,18460,False
36101,18500,False
48355,18580,True
48409,18580,True
48349,18620,False
36023,18660,False
41003,18700,True
39031,18740,False
08081,18780,False
18107,18820,False
06015,18860,False
12091,18880,True
12131,18880,True
47035,18900,False
01043,18980,False
37099,19000,False
37173,19000,False
24001,19060,True
54057,19060,True
48085,19100,True
48113,19100,True
48121,19100,True
48139,19100,True
48231,19100,True
48257,19100,True
48397,19100,True
48251,19100,True
48367,19100,True
48439,19100,True
48497,19100,True
13213,19140,True
13313,19140,True
17183,19180,True
21021,19220,False
21137,19220,False
51143,19260,False
51590,19260,False
01003,19300,True
17073,19340,True
17131,19340,True
17161,19340,True
19163,19340,True
47143,19420,False
39057,19430,True
39109,19430,True
39113,19430,True
01079,19460,True
01103,19460,True
17115,19500,True
18001,19540,False
39039,19580,False
48465,19620,False
12035,19660,True
12127,19660,True
35029,19700,False
08001,19740,True
08005,19740,True
08014,19740,True
08019,19740,True
08031,19740,True
08035,19740,True
08039,19740,True
08047,19740,True
08059,19740,True
08093,19740,True
22011,19760,False
19049,19780,True
19077,19780,True
19099,19780,True
19121,19780,True
19153,19780,True
19181,19780,True
26163,19820,True
26087,19820,True
26093,19820,True
26099,19820,True
26125,19820,True
26147,19820,True
38007,19860,False
38089,19860,False
17103,19940,False
20057,19980,False
01061,20020,True
01067,20020,True
01069,20020,True
13003,20060,False
13069,20060,False
10001,20100,True
13167,20140,False
13175,20140,False
13283,20140,False
42033,20180,False
19061,20220,True
27017,20260,True
27075,20260,True
27137,20260,True
55031,20260,True
48341,20300,False
40137,20340,False
08067,20420,False
40013,20460,False
37037,20500,True
37063,20500,True
37077,20500,True
37135,20500,True
37145,20500,True
47045,20540,False
48323,20580,False
24041,20660,False
42089,20700,True
55017,20740,True
55035,20740,True
08037,20780,False
17049,20820,False
48481,20900,False
06025,20940,True
05139,20980,False
37139,21020,False
37143,21020,False
21093,21060,True
21123,21060,True
21163,21060,True
40009,21120,False
18039,21140,True
54083,21180,False
32007,21220,False
32011,21220,False
53037,21260,False
36015,21300,True
48141,21340,True
48229,21340,True
20017,21380,False
20111,21380,False
40047,21420,True
01031,21460,False
42049,21500,True
26041,21540,False
35039,21580,False
01005,21640,False
13239,21640,False
41039,21660,True
06023,21700,False
56041,21740,False
18129,21780,True
18163,21780,True
18173,21780,True
21101,21780,True
02090,21820,True
19101,21840,False
27091,21860,False
54049,21900,False
32001,21980,False
27027,22020,True
38017,22020,True
27131,22060,False
29187,22100,False
35045,22140,True
37051,22180,True
37085,22180,True
37093,22180,True
05007,22220,True
05087,22220,True
05143,22220,True
27111,22260,False
32019,22280,False
39063,22300,False
13017,22340,False
04005,22380,True
26049,22420,True
45031,22500,True
45041,22500,True
01033,22520,True
01077,22520,True
55039,22540,True
37161,22580,False
05123,22620,False
08069,22660,True
19187,22700,False
29169,22780,False
17067,22800,False
19111,22800,False
29045,22800,False
08087,22820,False
01049,22840,False
22115,22860,False
05033,22900,True
05047,22900,True
05131,22900,True
40135,22900,True
18003,23060,True
18183,23060,True
18023,23140,False
21005,23180,False
21073,23180,False
48171,23240,False
17177,23300,False
31053,23340,False
39143,23380,False
06019,23420,True
01055,23460,True
45021,23500,False
12001,23540,True
12041,23540,True
12075,23540,True
13139,23580,True
48097,23620,False
17095,23660,False
35031,23700,False
20055,23780,False
20093,23780,False
32005,23820,False
45043,23860,False
42001,23900,True
56005,23940,False
56011,23940,False
56045,23940,False
21009,23980,False
21169,23980,False
36113,24020,True
36115,24020,True
08045,24060,False
08097,24060,False
36035,24100,False
37191,24140,True
48221,24180,False
27119,24220,True
38035,24220,True
31079,24260,True
31093,24260,True
31121,24260,True
08077,24300,True
27061,24330,False
26067,24340,True
26081,24340,True
26117,24340,True
26139,24340,True
35006,24380,False
41033,24420,True
20009,24460,False
30013,24500,True
08123,24540,True
55009,24580,True
55061,24580,True
55083,24580,True
47059,24620,False
37081,24660,True
37151,24660,True
37157,24660,True
18031,24700,False
28151,24740,False
37147,24780,True
39037,24820,False
45007,24860,True
45045,24860,True
45059,24860,True
45077,24860,True
28015,24900,False
28083,24900,False
45047,24940,False
28043,24980,False
72015,25020,True
72057,25020,True
72109,25020,True
28045,25060,True
28047,25060,True
28059,25060,True
28131,25060,True
40139,25100,False
24043,25180,True
54003,25180,True
