area_fips,pop2000,ln_pop2000,black_share,hisp_share
01001,43751,10.686269748667398,0.17151607963246554,0.013965395076683962
01003,140416,11.852364724194848,0.10342126253418414,0.017562101185050135
01005,29042,10.276498337090683,0.4637765994077543,0.016458921561875905
01007,19856,9.896261507444388,0.20104754230459307,0.010374697824335213
01009,50982,10.839227908231596,0.012043466321446785,0.0533325487426935
01011,11603,9.359018964347545,0.733431009221753,0.02775144359217444
01013,21394,9.970865787866076,0.4082453024212396,0.006684117042161353
01015,111882,11.625200023452148,0.18653581451886808,0.015668293380525913
01017,36600,10.507803519389457,0.3815846994535519,0.007650273224043716
01019,23909,10.082010236072934,0.05571123844577356,0.008406876071772136
01021,39604,10.586685402242406,0.1065043934956065,0.029113220886779114
01023,15953,9.677402178300998,0.4431141478091895,0.00670720240707077
01025,27870,10.235306120475993,0.4314675278076785,0.006458557588805167
01027,14240,9.563810184965966,0.15667134831460675,0.017696629213483146
01029,14141,9.556833658307777,0.03712608726398416,0.014001838625274026
01031,43639,10.683706524927356,0.18485758152111642,0.02710877884461147
01033,54979,10.914706573121668,0.166772767784063,0.01124065552301788
01035,14077,9.552297538827965,0.4362435177949847,0.007245862044469703
01037,11842,9.37940781309172,0.3333896301300456,0.012920114845465293
01039,37640,10.535822593699315,0.12361849096705632,0.007757704569606802
01041,13657,9.522007489678424,0.2484440213809768,0.006370359522589148
01043,77426,11.25707792048289,0.009622090770542196,0.021672306460362153
01045,49120,10.802021562821023,0.20565960912052117,0.03342833876221498
01047,46361,10.744213867540292,0.633139923642717,0.006255257651905696
01049,64436,11.073427762117856,0.017117760258240734,0.055574523558259356
01051,65819,11.094663829431445,0.20703748157826768,0.012215317765386894
01053,38452,10.557165989185707,0.30854051804847604,0.009856444398210757
01055,103448,11.546824349975688,0.1475717268579383,0.016955378547676127
01057,18522,9.826714493730215,0.11958751754670122,0.008206457186049022
01059,31257,10.349998630080293,0.04299836836548613,0.07415938829702147
01061,25700,10.154246270883311,0.10712062256809339,0.017509727626459144
01063,9923,9.202610573914242,0.8055023682354127,0.005845006550438375
01065,18270,9.813015649372053,0.59584017515052,0.008812260536398468
01067,16297,9.69873632077599,0.3244768975885132,0.015278885684481807
01069,88831,11.394490967158449,0.2467381882450946,0.012664497754162398
01071,53871,10.894347578710008,0.03762692357669247,0.01132334651296616
01073,662041,13.403082766536086,0.3944770792141272,0.015523207777161837
01075,15902,9.674200166461429,0.11998490755879763,0.013017230537039366
01077,87952,11.384546490100442,0.09869019465162816,0.010164635255593961
01079,34834,10.45834920029173,0.1336912212206465,0.01053568352758799
01081,115014,11.652809139066216,0.22744187664110457,0.014285217451788478
01083,65668,11.09236702341441,0.13361150027410612,0.02649692392032649
01085,13483,9.509184911634074,0.7332196098791071,0.006304234962545428
01087,24086,10.089386037820425,0.8479614713941709,0.00718259569874616
01089,276998,12.531765564926804,0.2292796337879696,0.018888223019660793
01091,22533,10.022736180354121,0.5174632760839657,0.009719078684595926
01093,31162,10.3469546827773,0.03655092741159104,0.01148835119697067
01095,82303,11.318162838005664,0.014823274971750726,0.056692951654253185
01097,399887,12.898937286179477,0.33465453990752386,0.012220952419058384
01099,24320,10.099054336080103,0.40106907894736843,0.0078125
01101,223518,12.31724722670559,0.48691380559954905,0.011922977120410884
01103,111076,11.617969930689535,0.11300370917209838,0.032815369656811554
01105,11876,9.382274835883651,0.6844055237453688,0.008588750421017177
01107,20914,9.948174070158535,0.4307640814765229,0.00702878454623697
01109,29688,10.298498202740433,0.3677917003503099,0.012294529776340608
01111,22344,10.014313107625012,0.2225653419262442,0.01217329036877909
01113,49854,10.816854012893037,0.40897420467765877,0.014963693986440405
01115,64740,11.078134527480236,0.08140253320976212,0.01059623107815879
01117,143429,11.873595418221843,0.07420396154194758,0.02033758863270329
01119,14772,9.600488775972455,0.7316544814513946,0.011169780666125102
01121,80734,11.29891507903724,0.3146505809200585,0.010070106770381747
01123,41771,10.639957597831893,0.25788226281391396,0.005913193363817002
01125,164932,12.01328854672531,0.29362403899789,0.012865908374360342
01127,70688,11.166031106219844,0.061820959710276145,0.008572883657763694
01129,18077,9.802395690974855,0.26923715218233113,0.008851026165846102
01131,12995,9.47231994707559,0.7185071181223548,0.007464409388226241
01133,24806,10.118840838375275,0.0038297186164637587,0.015036684673062968
02013,2697,7.89989532313973,0.018168335187245088,0.12569521690767518
02016,5464,8.605936401250625,0.03184480234260615,0.10486822840409957
02020,260299,12.469586249254187,0.06162528476866987,0.05685384884306125
02050,16046,9.6832148763136,0.0038638913124766296,0.008911878349744485
02060,1258,7.1372784372603855,0.005564387917329093,0.005564387917329093
02068,1893,7.545918151209323,0.014263074484944533,0.024828314844162706
02070,4922,8.501470230951002,0.0036570499796830555,0.02255180820804551
02090,82849,11.324774952775831,0.060918055739960654,0.04152132192301657
02100,2392,7.779885115070522,0.002508361204013378,0.013795986622073578
02105,2574,7.853216388156072,0.0019425019425019425,0.030691530691530692
02110,30704,10.33214821824748,0.008467952058363731,0.033871808233454925
02122,49673,10.813216804908437,0.004751072010951624,0.021883115575866165
02130,14074,9.552084402526495,0.005400028421202217,0.02643171806167401
02150,13916,9.540794536271832,0.009772923253808566,0.0609370508766887
02164,1823,7.508238774678663,0.0005485463521667581,0.01151947339550192
02170,59318,10.990668080241818,0.007316497521831484,0.02503455949290266
02180,9196,9.126523885883072,0.0039147455415398,0.010004349717268378
02185,7385,8.90720619496548,0.007582938388625593,0.023696682464454975
02188,7208,8.882946799288174,0.0020810210876803553,0.007907880133185349
02195,4256,8.35608503102148,0.002819548872180451,0.025140977443609023
02198,6124,8.719970756777574,0.0014696276943174395,0.017472240365774005
02220,8835,9.086476384753796,0.003395585738539898,0.032823995472552346
02230,860,6.756932389247553,0.0,0.020930232558139535
02240,6174,8.728102205062104,0.02024619371558147,0.027048914804016846
02261,10195,9.229652683008556,0.0032368808239333006,0.028052967140755274
02270,7028,8.857657449306988,0.0005691519635742744,0.0032726237905520775
02275,2452,7.804659297056102,0.0012234910277324632,0.010195758564437194
02282,808,6.694562058521095,0.0012376237623762376,0.007425742574257425
02290,6510,8.781094735202615,0.0009216589861751152,0.01152073732718894
04001,69430,11.148074329747319,0.0026357482356330116,0.04502376494310817
04003,117743,11.676259562128548,0.04769710301249331,0.3069142114605539
04005,116320,11.664100292767346,0.011038514442916094,0.10955123796423659
04007,51298,10.845407044044098,0.004386135911731452,0.16661468283363873
04009,33475,10.418554170559373,0.02025392083644511,0.27038088125466764
04011,8539,9.052399183907607,0.006089706054573135,0.4307295936292306
04012,19670,9.886849911383104,0.008998474834773767,0.22465683782409762
04013,3072415,14.937974455271545,0.039463744318394486,0.24845862293993487
04015,154981,11.9510578077426,0.005723282208786883,0.1108652028313148
04017,97452,11.487115228070412,0.009163485613430201,0.08211221934901285
04019,843702,13.645554630661753,0.032588520591393645,0.2934294336151864
04021,179469,12.097757770045911,0.029654146398542365,0.29898756888376266
04023,38381,10.555317824459362,0.004455329459889008,0.8078215783851385
04025,167377,12.028004032137915,0.00426581907908494,0.09771354487175657
04027,159995,11.982897843727672,0.025038282446326447,0.5048720272508516
05001,20751,9.940349717268694,0.23420558045395404,0.007565900438533083
05003,24217,10.094810144860501,0.2723293554114878,0.032043605731510924
05005,38365,10.554900864611765,0.0011208132412355012,0.010009122898475173
05007,153323,11.940302086221925,0.004741623892044898,0.08789287973754753
05009,33940,10.432349538788218,0.0011785503830288745,0.01060695344725987
05011,12618,9.442879644930755,0.2872880012680298,0.08242193691551751
05013,5731,8.653645314551737,0.23486302564997383,0.01500610713662537
05015,25345,10.14033675090645,0.0012231209311501282,0.09749457486683764
05017,14101,9.55400099583723,0.5418055457059783,0.028863201191404866
05019,23541,10.066498860795583,0.22114608555286522,0.023915721507157726
05021,17594,9.77531321381262,0.0019324769807889054,0.00795725815618961
05023,24005,10.08601742096504,0.0012080816496563215,0.011747552593209748
05025,8562,9.055089086704891,0.1317449194113525,0.01623452464377482
05027,25612,10.150816270638693,0.3614321411838201,0.01050288927065438
05029,20320,9.919360901692418,0.13075787401574804,0.017667322834645668
05031,82139,11.316168213099942,0.07842803053360767,0.021171428919270992
05033,53252,10.882790641551807,0.00893863141290468,0.03273116502666566
05035,50855,10.836733725059696,0.47120243830498476,0.014157899911513125
05037,19529,9.879655819282782,0.236980900199703,0.009268267704439552
05039,9196,9.126523885883072,0.410069595476294,0.019247498912570684
05041,15351,9.638935897473202,0.4641391440297049,0.03159403296202202
05043,18690,9.835743900449609,0.27196361690743714,0.017602996254681647
05045,86036,11.362521092296324,0.08530150169696406,0.017550792691431494
