area_fips,medhhinc2000,ln_medhhinc2000
01001,42013,10.645734373182417
01003,40250,10.60286528284671
01005,25101,10.130662964963708
01007,31420,10.355199911809612
01009,35241,10.469965456491996
01011,20605,9.933289043772918
01013,24791,10.118235963061956
01015,31768,10.366214772811087
01017,29667,10.2977905959381
01019,30874,10.337669684741787
01021,32588,10.391699401430532
01023,24749,10.116540363140167
01025,27388,10.217860240240954
01027,27885,10.235844188823654
01029,30820,10.335919108874107
01031,33664,10.424184296097382
01033,31954,10.372052647587516
01035,22111,10.003830501232155
01037,29873,10.30471034138616
01039,26336,10.178692103476797
01041,26054,10.16792658625751
01043,32256,10.38145935143104
01045,31998,10.373428679828658
01047,23370,10.059208427532903
01049,30137,10.313508931725504
01051,41243,10.62723668039297
01053,28319,10.251288236449755
01055,31170,10.347211372761382
01057,28539,10.259026851874566
01059,27177,10.210126306337397
01061,26448,10.182935820060806
01063,19819,9.894396352524348
01065,25807,10.15840105193914
01067,30353,10.320650638390102
01069,34431,10.446712600348778
01071,32020,10.374115986550706
01073,36868,10.515099245113555
01075,28059,10.24206471510266
01077,33354,10.414932984181524
01079,31549,10.359297171745961
01081,30952,10.34019289638035
01083,37405,10.529559664306506
01085,23050,10.045421048424794
01087,21180,9.960812619155398
01089,44704,10.707818262056689
01091,27025,10.204517642507408
01093,27475,10.221031779271822
01095,32167,10.378696361299577
01097,33710,10.425549808228107
01099,29093,10.278252874394655
01101,35962,10.490218104391584
01103,37803,10.540143743537802
01105,20200,9.913437883389296
01107,26254,10.175573637363353
01109,25551,10.14843173380919
01111,28675,10.263780941997572
01113,27492,10.221650332241495
01115,37285,10.526346379977895
01117,55440,10.923056633863785
01119,18911,9.847499042327273
01121,31628,10.361798083190818
01123,30745,10.33348265838757
01125,34436,10.446857807777846
01127,29076,10.277668370604527
01129,30815,10.335756863396343
01131,16646,9.71992522630604
01133,28435,10.2553760597409
02013,47875,10.776348726482947
02016,61406,11.025262829230666
02020,55546,10.924966785274414
02050,35701,10.482933978579906
02060,52167,10.862205390050178
02068,53654,10.890311302595522
02070,43079,10.670790918373239
02090,49076,10.801125395911074
02100,40772,10.615750850288304
02110,62034,11.035437900814749
02122,46397,10.744990080951696
02130,51344,10.846303363349637
02150,54636,10.908448285122782
02164,36442,10.503477234609823
02170,51221,10.843904883186518
02180,41250,10.627406391762827
02185,63173,11.053632273662666
02188,45976,10.735874800187577
02201,40636,10.612409652211436
02220,51901,10.857093336791094
02232,40879,10.61837176273886
02240,38776,10.565556777525211
02261,48734,10.794132217426698
02270,30184,10.315067261644147
02280,46434,10.745787228498514
02282,46786,10.753339291853713
02290,28666,10.263467030483161
04001,23344,10.058095270762568
04003,32105,10.376767060228149
04005,38256,10.552055689698106
04007,30917,10.33906147341461
04009,29668,10.29782430285645
04011,39384,10.581114921438036
04012,25839,10.159640257457283
04013,45358,10.722341845718807
04015,31521,10.358409269356885
04017,28569,10.260077492862155
04019,36758,10.51211116802542
04021,35856,10.487266196040709
04023,29710,10.299238968456653
04025,34901,10.460270761075149
04027,32182,10.379162569019096
05001,30316,10.31943090493192
05003,31758,10.365899941086042
05005,29106,10.278699617473272
05007,40281,10.603635172740818
05009,29988,10.308552580622953
05011,24821,10.119445348035613
05013,28438,10.255481557956319
05015,27924,10.237241813090293
05017,22024,9.999888046822443
05019,28845,10.26969194669099
05021,25345,10.14033675090645
05023,31531,10.358726467862368
05025,32405,10.386068010861816
05027,27640,10.227019277881606
05029,31209,10.348461793739006
05031,32425,10.386685009184644
05033,32871,10.400346089073503
05035,30109,10.312579409366641
05037,29362,10.287456600299405
05039,26608,10.188967201432709
05041,24121,10.090838109351523
05043,28627,10.26210560741145
05045,38204,10.550695501154628
05047,30848,10.336827197410273
05049,25529,10.147570339863993
05051,31724,10.36482877120321
05053,37182,10.523580052190162
05055,30828,10.336178646897883
05057,28622,10.261930931870822
05059,31543,10.359106973305016
05061,28699,10.264617557935098
05063,31920,10.370988051563746
05065,25670,10.153078273865185
05067,25081,10.129865866360268
05069,31327,10.352235624493908
05071,27910,10.236740326530368
05073,24831,10.119848151553505
05075,27139,10.208727086726242
05077,20510,9.928667851066427
05079,29607,10.295766098840117
05081,29417,10.289328017507993
05083,28344,10.252170646545308
05085,40314,10.604454082148205
05087,27895,10.236202740279628
05089,26737,10.193803652888551
05091,30951,10.340160587768485
05093,27479,10.221177355572257
05095,22632,10.027120112981404
05097,28421,10.25488358752045
05099,26962,10.20218374625101
05101,24756,10.116823162859252
05103,29341,10.286741134279072
05105,31083,10.34441632491986
05107,22231,10.009242990201992
05109,27695,10.229007170467204
05111,26558,10.187086299550273
05113,25180,10.133805307598339
05115,32069,10.375645110411204
05117,29990,10.308619271743055
05119,38120,10.548494357768138
05121,27583,10.224954919906036
05123,26146,10.171451494121806
05125,42569,10.658881567825121
05127,26412,10.181573731314462
05129,21397,9.97100600426695
05131,33889,10.43084575693648
05133,30144,10.31374117737609
05135,25152,10.132692695228933
05137,22209,10.008252891111209
05139,29809,10.302565640319441
05141,27004,10.20374028216176
05143,34691,10.454235566299538
05145,32203,10.379814894894523
05147,22099,10.003287637613305
05149,28916,10.272150354120187
06001,55946,10.932142218780436
06003,41875,10.642444269127367
06005,42280,10.652069439984174
06007,31924,10.371113356995899
06009,41022,10.62186378714185
06011,35062,10.46487320191382
06013,63675,11.061547299847657
06015,29642,10.29694755351686
06017,51484,10.849026358769269
06019,34725,10.455215167622544
06021,32107,10.376829353880446
06023,31226,10.349006360101466
06025,31870,10.369420407411383
06027,35006,10.463274754350781
06029,35446,10.475765690615084
06031,35749,10.484277575702958
06033,29627,10.29644138670722
06035,36310,10.499848464408382
06037,42189,10.649914802538357
06039,36286,10.499187270930108
06041,71306,11.1747357543345
06043,34626,10.452360123939021
06045,35996,10.49116310015384
06047,35532,10.478188977889591
06049,27522,10.222740963825228
06051,44992,10.714239975170337
06053,48305,10.78529035395161
06055,51738,10.853947800180379
06057,45864,10.73343577458822
06059,58820,10.982237212107986
06061,57535,10.960148737257558
06063,36351,10.500976992899632
06065,42887,10.666324028690118
06067,43816,10.687754326463557
06069,57469,10.95900095096759
06071,42066,10.646995092435022
06073,47067,10.759327397501066
06075,55221,10.919098594700833
06077,41282,10.628181848594203
06079,42428,10.65556380062536
06081,70819,11.167882605261203
06083,46677,10.751006816983072
06085,74335,11.21633718304745
06087,53998,10.896702287823487
06089,34335,10.443920521054777
06091,35827,10.486457078074604
06093,29530,10.293161974737968
06095,54099,10.898570980375382
06097,53076,10.879480127656327
06099,40101,10.599156550639583
06101,38375,10.555161484889497
06103,31206,10.348365663001127
06105,27711,10.22958472526072
06107,33983,10.433615678556617
06109,38725,10.56424066528507
06111,59666,10.996517622908005
06113,40769,10.615677267673389
06115,30460,10.324169626449153
08001,47323,10.764751714223067
08003,29447,10.290347316318723
08005,53570,10.888744488875005
08007,37901,10.542732775946709
08009,28099,10.243489267499987
08011,28125,10.244414139506722
08013,55861,10.930621741236532
08015,34368,10.444881177868536
08017,37054,10.520131587109958
08019,50997,10.839522086446879
08021,24744,10.116338314364906
08023,19531,9.879758225836891
08025,26803,10.196269100532607
08027,34731,10.455387938873837
08029,32785,10.39772637269772
08031,39500,10.584055950889214
08033,32196,10.379597500213624
08035,82929,11.325740099010073
08037,62682,11.045829604065563
08039,62480,11.042601784513568
08041,46844,10.754578211162029
08043,34150,10.438517864998936
08045,47016,10.758243248292487
08047,51942,10.857882990443828
08049,47759,10.77392280982383
08051,36916,10.516400340385468
08053,37279,10.526185444405423
08055,25775,10.15716030888516
08057,31821,10.36788172817358
08059,57339,10.956736299452707
08061,30494,10.325285221931852
08063,33152,10.408858325619155
08065,37691,10.537176618145875
08067,40159,10.600601853657185
08069,48655,10.79250985725609
08071,28273,10.249662564618726
08073,31914,10.370800063970373
08075,32724,10.39586403263359
08077,35864,10.487489285835276
08079,34844,10.458636234938783
08081,41528,10.634123177507066
08083,32083,10.37608157381756
