"h","b_raw","se_raw","b_sur","se_sur"
0,0.15770306406408,0.124368252306902,-0.487836460034382,0.740859570900448
1,0.392781997164362,0.151758610175961,-0.567446751075183,0.916328721081795
2,0.703938829959922,0.16598104291851,-1.1167676863222,0.992960108689242
3,0.784710365932009,0.153429968296908,-1.12790558127067,1.52996361225869
4,0.904391565468866,0.261299420862074,-1.53406083322852,1.83392919410685
5,0.957150683957958,0.334427370713521,-1.5699819207,2.0511201352975
6,1.02646269110074,0.309031460964335,-1.56812788558159,2.48113408053772
7,0.9016611521903,0.303193888653018,-1.09084516115554,2.73282335399798
8,0.790897990698207,0.348215792408498,-1.70787439222736,2.69682307840742
9,0.645244422262503,0.413833350233803,-1.46736268348162,2.64442955308551
10,0.617919995747068,0.431370633474294,-1.45108929480778,2.71071543497853
11,0.402529082468725,0.473760295534638,-1.52902735685413,2.80780936006228
12,0.211859147424563,0.54880854732981,-1.96998919946413,2.90657056880645
