"area_fips","new_exp","old_exp","factor"
"01001",0.273137924111624,0.530014038085938,1.94046300897174
"01003",0.194136732329085,0.542155265808105,2.79264649870118
"01005",0.473446893787575,0.693887770175934,1.4656084542552
"01007",0.254447022428461,0.6090487241745,2.39361702236361
"01009",0.325111142980066,0.590420186519623,1.81605644490575
"01011",0.0244498777506112,0.0283618588000536,1.16000002492219
"01013",0.282107574094402,0.452982068061829,1.60570686383006
"01015",0.27753889453522,0.760352313518524,2.73962434991984
"01017",0.469481728225727,0.586950123310089,1.25020866206721
"01019",0.32099173553719,0.443636357784271,1.38208031132587
"01021",0.280831408775982,0.770284831523895,2.74287279646255
"01023",0.0243016759776536,0.194413408637047,8.00000003357043
"01025",0.293193717277487,0.46018186211586,1.56954885114517
"01027",0.634511434511435,0.634511411190033,0.999999963245104
"01029",0.596766743648961,0.656812906265259,1.10061915020456
"01031",0.279500859028845,0.573017477989197,2.05014567747736
"01033",0.282369990524497,0.775765001773834,2.74733515531472
"01035",0.251901429875266,0.251901417970657,0.999999952741003
"01037",0.620418848167539,0.704188466072083,1.13502107189677
"01039",0.30041417395306,0.48255866765976,1.60631125126326
"01041",0.358992805755396,0.413309365510941,1.15130264140322
"01043",0.291170833890449,0.791549682617188,2.71850608126157
"01045",0.191670555296314,0.338077455759048,1.76384659206729
"01047",0.384989625813837,0.606639504432678,1.57572948400958
"01049",0.573014836241486,NA,NA
"01051",0.387330712101354,0.74320662021637,1.91879083428296
"01053",0.250336892298124,0.399191468954086,1.59461701904765
"01055",0.227211135747721,0.587952673435211,2.58769303494012
"01057",0.324048282265552,0.704038977622986,2.17263604269328
"01059",0.459550707700299,0.642773687839508,1.39870024584686
"01061",0.252092315495815,0.369515597820282,1.46579477083035
"01063",0.440057430007179,0.577889442443848,1.31321369220927
"01065",0.47906450396077,0.516786098480225,1.078740115804
"01067",0.421230210225798,0.554373204708099,1.31608130483075
"01069",0.209737110770801,0.536562025547028,2.55825983096228
"01071",0.481733021077283,0.862373173236847,1.79014752052569
"01073",0.158895367773586,0.66667628288269,4.19569363301173
"01075",0.339697969102586,0.468668639659882,1.37966276600949
"01077",0.213492909902437,0.564719378948212,2.645143481375
"01079",0.0592985694508537,0.223119527101517,3.7626460329104
"01081",0.256192391989672,0.577296078205109,2.25336932811175
"01083",0.431208053691275,0.714636027812958,1.65728822014211
"01085",0.607702642185401,0.73667711019516,1.21223285708607
"01087",0.0111265646731572,0.0111265648156404,1.00000001280569
"01089",0.206147471280362,0.661371111869812,3.20824266124682
"01091",0.376684424945158,0.584142923355103,1.55074880900677
"01093",0.441493180186648,NA,NA
"01095",0.396476059474684,NA,NA
"01097",0.189459227244324,0.702477335929871,3.70780218069804
"01099",0.331577012621002,0.44112241268158,1.33037694378949
"01101",0.157041317096037,0.50066488981247,3.18810934008083
"01103",0.360725035410765,0.975854277610779,2.70525797162804
"01105",0.280383257690368,0.280383259057999,1.00000000487772
"01107",0.268115942028986,0.75955206155777,2.83292390526952
"01109",0.2534253964829,0.437695533037186,1.72711787812758
"01111",0.42883087400681,0.609307587146759,1.42085755499284
"01113",0.256755324785419,0.62413901090622,2.43087075770615
"01115",0.318924711976422,0.890506386756897,2.79221506931307
"01117",0.181026514230114,0.683921158313751,3.77801650339671
"01119",0.148595805190188,0.345894068479538,2.32775123117928
"01121",0.423297053856258,0.732126116752625,1.72957999608766
"01123",0.172867304641523,0.251983016729355,1.45766729719015
"01125",0.236382047234714,0.70768678188324,2.99382626625848
"01127",0.134107498341075,0.338553428649902,2.52449290932906
"01129",0.456914523974983,0.504169583320618,1.1034220994652
"01131",0.0396551724137931,0.0775862038135529,1.95652166138525
"01133",0.576789437109104,NA,NA
"02013",0,NA,NA
"02016",0.585471944323619,NA,NA
"02020",0.0876285132661614,0.393169343471527,4.48677409688923
"02050",0.0238814164150425,0.0285478997975588,1.19540228692536
"02060",0.154605263157895,0.401315778493881,2.59574460983276
"02068",0.0534591194968553,NA,NA
"02070",0.014022787028922,0.0140227871015668,1.00000000518048
"02090",0.0790340285400659,0.307720452547073,3.89351850375533
"02100",0.115384615384615,0.258974373340607,2.24444456895192
"02110",0.0820308509551538,0.277147829532623,3.37858045242198
"02122",0.147142857142857,0.461428582668304,3.13592240648362
"02130",0.126628229767243,0.241725385189056,1.90893756971391
"02150",0.371904761904762,NA,NA
"02164",0.032258064516129,0.0322580635547638,0.999999970197678
"02170",0.144799921729772,0.550631046295166,3.80270265147493
"02180",0.0269569725246242,0.0539139434695244,1.99999994139832
"02185",0.0361944157187177,0.0501551181077957,1.38571426314967
"02188",0,NA,NA
"02201",0.173149309912171,0.229611039161682,1.32608694356421
"02220",0.147864882090503,0.286169528961182,1.93534478853489
"02232",0.155677655677656,0.155677661299706,1.0000000361134
"02240",0.0946372239747634,0.181388005614281,1.91666659265757
"02261",0.118681318681319,0.13956044614315,1.17592598139136
"02270",0,0,NA
"02280",0.181132075471698,0.3805031478405,2.10069446203609
"02282",0,0,NA
"02290",0.0253807106598985,NA,NA
"04001",0.0290477827432107,0.0981436893343925,3.37869813341714
"04003",0.0862789516853494,0.298871219158173,3.46401078501887
"04005",0.132688232440575,0.378124445676804,2.84972102440319
"04007",0.0741030250918471,0.299616992473602,4.04324913999451
"04009",0.0939278937381404,0.158633783459663,1.68888896733823
"04011",0,0,NA
"04012",0,0.00514271017163992,Inf
"04013",0.173713167132795,0.75851309299469,4.36646861901289
"04015",0.240471204188482,0.929842948913574,3.86675382631162
"04017",0.12711494378343,0.472328335046768,3.71575773066848
"04019",0.182574638450018,0.678748488426208,3.71764936350689
"04021",0.15906539433062,0.465197861194611,2.92456987990542
"04023",0.114404679290175,0.314166754484177,2.74610056540892
"04025",0.184306717569653,0.730180323123932,3.96176727984959
"04027",0.166758575052388,0.508961081504822,3.05208341666946
"05001",0.418840061926879,0.78706681728363,1.87915839201895
"05003",0.516757996686632,0.82668536901474,1.59975341323272
"05005",0.27413486758609,0.435823678970337,1.58981483387358
"05007",0.193602802828781,0.634334623813629,3.27647438231886
"05009",0.236633058356248,0.453024744987488,1.91446093007624
"05011",0.312387791741472,0.37432673573494,1.19827581496759
"05013",0.105937136204889,0.138533174991608,1.30769227821748
"05015",0.445438493231313,0.525485575199127,1.17970400669043
"05017",0.338051904280418,0.404785990715027,1.19740781101843
"05019",0.337954517815882,0.480238348245621,1.42101473106288
"05021",0.46640037593985,0.486842095851898,1.04382869518674
"05023",0.336738416636264,0.696461141109467,2.0682556747357
"05025",0.135458167330677,0.135458171367645,1.00000002980232
"05027",0.37547619047619,0.587857127189636,1.56563090310493
"05029",0.301970865467009,0.436675250530243,1.44608404474686
"05031",0.276709371360395,0.717779755592346,2.59398426610383
"05033",0.270895951908934,0.665345013141632,2.45609064459294
"05035",0.143832343504676,0.327053040266037,2.27384906827583
"05037",0.29827346695773,0.355626106262207,1.19228206883251
"05039",0.312125748502994,0.545658707618713,1.74820151889353
"05041",0.33359375,0.391927093267441,1.1748634177572
"05043",0.278137789904502,0.602319240570068,2.16554262826663
"05045",0.302330963795669,0.76029098033905,2.51476385611927
"05047",0.354396423248882,0.451266765594482,1.27333893908283
"05049",0.127388535031847,0.127388536930084,1.00000001490116
"05051",0.177226872036406,0.485345125198364,2.7385526789564
"05053",0.456273764258555,0.674904942512512,1.47916666567326
"05055",0.420747159323142,0.699746608734131,1.66310477261407
"05057",0.516723036452461,0.598772406578064,1.15878790829398
"05059",0.314972553473405,0.598145008087158,1.89903850824787
"05061",0.654001391788448,0.670842051506042,1.02575018941709
"05063",0.357077689662432,0.417643338441849,1.16961476600981
"05065",0.265072247135027,0.310413539409637,1.17105258194576
"05067",0.229439252336449,0.260747671127319,1.1364562448319
"05069",0.299345291132375,0.582419693470001,1.94564508186115
"05071",0.440212825539065,0.495099425315857,1.12468196425122
"05073",0.0671936758893281,0.0671936795115471,1.00000005390714
"05075",0.305115089514067,0.531457781791687,1.74182726471542
"05077",0,0,NA
"05079",0.351628468033776,0.369722545146942,1.0514579414299
"05081",0.0597707423580786,0.119541481137276,1.99999994012319
"05083",0.43842260649515,0.486081808805466,1.10870607857408
"05085",0.290594640760115,0.805700838565826,2.77259359105294
"05087",0.528784648187633,0.754370987415314,1.42661287539428
"05089",0.57396262274311,NA,NA
"05091",0.313341056946796,0.529186367988586,1.68885103390214
"05093",0.360285132382892,0.553971469402313,1.53759181162541
"05095",0.107123436650353,0.10712343454361,0.999999980333493
"05097",0.33406835722161,0.458654910326004,1.37293730582735
"05099",0,0.0193340498954058,Inf
"05101",0.134722222222222,0.330555558204651,2.45360826708607
"05103",0.294930875576037,0.550691246986389,1.86718750931323
"05105",0.143518518518519,0.271604925394058,1.89247302855215
"05107",0.155768508079669,0.303081542253494,1.94571769345367
"05109",0.235186035829123,0.393201649188995,1.6718749810243
"05111",0.343917814615923,0.37917348742485,1.10251191217966
"05113",0.27445605619325,0.466335445642471,1.69912609002191
"05115",0.246529080675422,0.561257064342499,2.27663634166326
"05117",0,0.00779423210769892,Inf
"05119",0.119807949977669,0.434406161308289,3.62585422243899
"05121",0.356517509727626,0.78939688205719,2.21418825308265
"05123",0.550268468802074,0.632012605667114,1.14855319085063
"05125",0.217945648270083,0.695857763290405,3.1928041179702
"05127",0.507897934386391,0.529769122600555,1.04306217201018
"05129",0.146950092421442,0.268946409225464,1.83018877221353
"05131",0.3549915300468,0.844956815242767,2.38021683258576
"05133",0.538412965691433,0.565354645252228,1.05003906160803
"05135",0.178060413354531,0.276947528123856,1.55535709990987
"05137",0.297132110954396,0.459332406520844,1.54588612131303
"05139",0.382946409199392,0.843241512775421,2.20198307783678
"05141",0.247491638795987,0.428428083658218,1.73108104072713
"05143",0.268137514783247,0.809877276420593,3.02038033385694
"05145",0.271761595770248,0.6607546210289,2.43137599761342
"05147",0.216290588882774,0.216290593147278,1.00000001971655
"05149",0.603668876213966,NA,NA
"06001",0.199515791116818,0.886184871196747,4.44167785535271
"06003",0,NA,NA
"06005",0.145100716968249,0.373392522335052,2.5733334068691
"06007",0.129328571682391,0.459730297327042,3.55474657569142
"06009",0.214673046251994,0.861403524875641,4.0126300898739
"06011",0.180767338908018,0.391047716140747,2.16326532493643
"06013",0.146766379491227,0.640870988368988,4.36660623904876
"06015",0.0748977505112474,0.158742338418961,2.11945402011936
"06017",0.160866530388393,0.64314204454422,3.99798542923397
"06019",0.189461445531424,0.795287549495697,4.19762209279561
"06021",0.24942316566682,0.496769726276398,1.99167436973349
"06023",0.163718601082304,0.618259131908417,3.77635239869665
"06025",0.155120422948894,0.439671039581299,2.83438525516498
"06027",0.0841303577754162,0.183669850230217,2.1831578408417
"06029",0.154522164931738,0.633998095989227,4.10295892676176
"06031",0.204311061146684,0.58301967382431,2.85358839874918
"06033",0.11384735659142,0.397635102272034,3.49270386399118
"06035",0.107830213551279,0.236224621534348,2.19070902073296
"06037",0.172407171881767,0.845686316490173,4.90516900926909
"06039",0.248273817088152,0.728555083274841,2.93448214483351
"06041",0.108414918642446,0.473728388547897,4.36958671813663
"06043",0.084769316286826,0.199277371168137,2.35081961135395
"06045",0.193682594821667,0.69891345500946,3.60855065811662
"06047",0.24677577494532,0.724237620830536,2.93480031008315
"06049",0.030570252792475,0.0552616119384766,1.80769234437209
"06051",0.0681633317065235,0.22010737657547,3.22911704966447
"06053",0.130659672895494,0.513495802879333,3.93002516767392
"06055",0.275600890631244,NA,NA
"06057",0.192665406427221,0.778034031391144,4.03826533169069
"06059",0.202706854535846,0.980225563049316,4.83568039814842
"06061",0.218029694036584,0.862731158733368,3.95694339959311
"06063",0.211203138622493,0.54947692155838,2.60165130661491
"06065",0.247067215491838,NA,NA
"06067",0.137038459724104,0.59906280040741,4.37149397047726
"06069",0.35707019328586,0.973180413246155,2.72545967584322
"06071",0.215370943875614,0.999657273292542,4.64156053413541
"06073",0.176043144942002,0.832829058170319,4.73082356285272
"06075",0.0645836322762711,0.30226519703865,4.6802136452413
"06077",0.209277198211624,0.842020630836487,4.02347048809886
"06079",0.161591985787604,0.646725714206696,4.00221403960436
"06081",0.142113459266596,0.53312611579895,3.75141185465649
"06083",0.163444765363608,0.675977289676666,4.13581486181495
"06085",0.229248049329483,NA,NA
"06087",0.143999288201947,0.571993291378021,3.97219526929777
"06089",0.139464903482017,0.525598227977753,3.7686773866052
"06091",0,0.0616621971130371,Inf
"06093",0.120104438642298,0.367101818323135,3.05652166125567
"06095",0.217443858953293,0.783151090145111,3.60162431772025
"06097",0.232499984972078,NA,NA
"06099",0.242486826320026,0.881322979927063,3.6345190099685
"06101",0.173503557974048,0.655085802078247,3.77563324768379
"06103",0.242980305307285,0.532784938812256,2.19270832727974
"06105",0.167741935483871,0.255718469619751,1.5244754919639
"06107",0.216108996689932,0.786630809307098,3.63997252014333
"06109",0.163542815141492,0.516207277774811,3.15640450073092
"06111",0.207378139581058,0.827824890613556,3.99186188228862
"06113",0.163673819742489,0.565888404846191,3.45741552153248
"06115",0.223244334754319,0.621269941329956,2.7829147020177
"08001",0.231277431983973,0.997384905815125,4.31250423899657
"08003",0.0838963963963964,0.238551050424576,2.84340043996004
"08005",0.121813344760476,0.521706223487854,4.28283308789931
"08007",0.131083481349911,0.390053272247314,2.97560965142599
"08009",0.0459183673469388,0.0459183678030968,1.00000000993411
"08011",0,0,NA
"08013",0.172226905098607,0.736138880252838,4.27423856819216
"08014",0.248637269275591,0.556746006011963,2.23918967431573
"08015",0.13551912568306,0.388852447271347,2.8693547520426
"08017",0,0,NA
"08019",0.0865546218487395,0.136974796652794,1.58252434967791
"08021",0.154185022026432,0.361233472824097,2.34285709517343
"08023",0,0,NA
"08025",0,0,NA
"08027",0.236196319018405,0.54141104221344,2.29220778911145
"08029",0.142977433479286,0.348939031362534,2.44051821935303
"08031",0.0994356608942041,0.435841411352158,4.38314994271398
"08033",0,0,NA
"08035",0.147937270972064,0.646105051040649,4.36742577982705
"08037",0.141335368686533,0.659885823726654,4.66893623202137
"08039",0.422523961661342,NA,NA
"08041",0.152877601176545,0.618409395217896,4.04512754294036
"08043",0.174661435261359,0.468295156955719,2.68115944572981
"08045",0.191014707699913,0.859844267368317,4.50145581836108
"08047",0.013142174432497,0.0131421741098166,0.99999997544695
"08049",0.0942130712837311,0.370613008737564,3.93377483280881
"08051",0.12221379833207,0.413191825151443,3.38089340803197
"08053",0,0,NA
"08055",0,0.0394648835062981,Inf
"08057",0,0,NA
"08059",0.207498039933844,0.679693698883057,3.27566322602257
"08061",0,0,NA
"08063",0.0949464012251149,0.0949463993310928,0.999999980051671
"08065",0.0939702427564605,0.202036023139954,2.15000001291434
"08067",0.131719074042935,0.528950154781342,4.0157445580655
"08069",0.214000996512207,0.830219209194183,3.8795109495989
