"arm","h","b_raw","se_raw","n_raw","b_sur","se_sur"
"A cd-panel + positional",0,0.19516396748775,0.0971511898086553,204785,-0.74936777834986,0.569189709607007
"A cd-panel + positional",1,0.368513125796997,0.146632982214859,201898,-0.561008703249809,0.616429855297933
"A cd-panel + positional",2,0.592019482165986,0.1827902437881,199011,-1.01594435410593,1.06794625980204
"A cd-panel + positional",3,0.75324352318313,0.167562180279997,196124,-1.22006437308877,1.55837660882352
"A cd-panel + positional",4,0.9865933116067,0.234297586357054,193237,-1.65846426678387,1.77640013300925
"A cd-panel + positional",5,1.14320658221882,0.283659630583927,190350,-1.56198202499331,2.20906149740849
"A cd-panel + positional",6,1.20866809739882,0.288388757444467,187463,-1.38937707965858,2.72326198536253
"A cd-panel + positional",7,1.13916630700746,0.304477753413347,184576,-1.96747809165622,2.91878505748002
"A cd-panel + positional",8,1.10505775331146,0.339511914268715,181689,-2.55046491696725,2.91779725096179
"A cd-panel + positional",9,1.02297488332459,0.37962086789484,178802,-1.85518570611929,3.06072823155655
"A cd-panel + positional",10,0.974294738310583,0.403496759019523,175915,-1.86626190731966,3.16318140304083
"A cd-panel + positional",11,0.795721099736145,0.454887877397717,173028,-2.25629466899103,3.23085779312021
"A cd-panel + positional",12,0.633998778543536,0.532747693882146,170141,-2.87666607671295,3.27035225933629
"B cd-panel + time-aware",0,0.19516396748775,0.0971511898086553,204785,-0.74936777834986,0.569189709607007
"B cd-panel + time-aware",1,0.368513125796997,0.146632982214859,201898,-0.561008703249809,0.616429855297933
"B cd-panel + time-aware",2,0.592019482165986,0.1827902437881,199011,-1.01594435410593,1.06794625980204
"B cd-panel + time-aware",3,0.75324352318313,0.167562180279997,196124,-1.22006437308877,1.55837660882352
"B cd-panel + time-aware",4,0.9865933116067,0.234297586357054,193237,-1.65846426678387,1.77640013300925
"B cd-panel + time-aware",5,1.14320658221882,0.283659630583927,190350,-1.56198202499331,2.20906149740849
"B cd-panel + time-aware",6,1.20866809739882,0.288388757444467,187463,-1.38937707965858,2.72326198536253
"B cd-panel + time-aware",7,1.13916630700746,0.304477753413347,184576,-1.96747809165622,2.91878505748002
"B cd-panel + time-aware",8,1.10505775331146,0.339511914268715,181689,-2.55046491696725,2.91779725096179
"B cd-panel + time-aware",9,1.02297488332459,0.37962086789484,178802,-1.85518570611929,3.06072823155655
"B cd-panel + time-aware",10,0.974294738310583,0.403496759019523,175915,-1.86626190731966,3.16318140304083
"B cd-panel + time-aware",11,0.795721099736145,0.454887877397717,173028,-2.25629466899103,3.23085779312021
"B cd-panel + time-aware",12,0.633998778543536,0.532747693882146,170141,-2.87666607671295,3.27035225933629
"C orig-panel + positional",0,0.197534459555843,0.0768407634876733,204753,-0.388479157920945,0.496545602827254
"C orig-panel + positional",1,0.446083122557223,0.103158606806614,201866,-0.725364444502047,0.711184764335167
"C orig-panel + positional",2,0.733281447558382,0.136847356560161,198979,-1.17036395096045,0.985056115998263
"C orig-panel + positional",3,0.887522186279705,0.130873527583503,196092,-1.28143142172666,1.56643799456942
"C orig-panel + positional",4,1.07255533630219,0.204600023206181,193205,-1.62060309741851,1.85108323673777
"C orig-panel + positional",5,1.18280359586828,0.253085213439724,190318,-1.85256957625061,2.18974530050792
"C orig-panel + positional",6,1.25189772509283,0.25677459679145,187431,-1.91617351930678,2.63037919102919
"C orig-panel + positional",7,1.20236550581149,0.276415876107735,184544,-1.56441245504413,2.93818478764649
"C orig-panel + positional",8,1.15651955801082,0.31568763709321,181657,-2.00802407909039,2.95823044087656
"C orig-panel + positional",9,1.05735618477268,0.358363374426191,178770,-1.7985360511788,3.03132256789783
"C orig-panel + positional",10,0.991083528652547,0.383719102842139,175883,-1.92208155247408,3.10531385166616
"C orig-panel + positional",11,0.807594169379553,0.439460263350317,172996,-2.10827795131155,3.22134409146949
"C orig-panel + positional",12,0.657421356559445,0.518077024228194,170109,-2.4172437195547,3.26422350452635
