"label","h","b_raw","se_raw","p_raw","b_sur","se_sur","p_sur","se_ratio","se_diff","p_diff","lo_raw","hi_raw","lo_sur","hi_sur"
"full 2002-2019",0,0.15773644713746,0.124392216516488,0.204777520544634,-0.488065804538171,0.740866884623648,0.510039203468163,5.95589423013011,0.751237089248018,0.389981059001082,-0.0860678191150619,0.401540713389982,-1.94013822719267,0.964006618116333
"full 2002-2019",1,0.392844952540239,0.15180006787598,0.00965601341852552,-0.568032002421244,0.916329516821981,0.535324103633198,6.03642363039402,0.928818089835872,0.30089511152642,0.0953222843057617,0.690367620774716,-2.36400486752972,1.22794086268723
"full 2002-2019",2,0.704304284282269,0.165985947570668,2.2039802390438e-05,-1.11588856917523,0.993382849162656,0.261300865983507,5.98474065848091,1.00715481421748,0.0707214024494235,0.378977802537872,1.02963076602667,-3.06288319175147,0.831106053401006
"full 2002-2019",3,0.785403786545011,0.153380176220739,3.04509711973771e-07,-1.12578875913932,1.53067706373895,0.462044673556497,9.97962775538905,1.53834253400015,0.214099615983244,0.484784162838707,1.08602341025132,-4.12586069969337,1.87428318141473
"full 2002-2019",4,0.90504036168862,0.261304382106028,0.000533100777436028,-1.53501508867952,1.83415863071486,0.40264641103248,7.01924175910155,1.85267856433155,0.187824552336992,0.392893179718561,1.41718754365868,-5.12989997516994,2.0598697978109
"full 2002-2019",5,0.958108855395178,0.334329940007586,0.00416011519424855,-1.5713062987386,2.0514597012786,0.443708739245912,6.13603346811252,2.07852433585839,0.223631484704814,0.30283420885815,1.61338350193221,-5.59209346069541,2.44948086321821
"full 2002-2019",6,1.02776828926844,0.308885519418948,0.000876781571219284,-1.56691833355611,2.48202406617887,0.527840030390687,8.03541736384361,2.5011704718387,0.299554623541044,0.422363791086001,1.63317278745088,-6.43159615040031,3.29775948328809
"full 2002-2019",7,0.902968876834873,0.303062633889389,0.00288738636815016,-1.08890738539163,2.73379721423685,0.690399366925798,9.02056838598789,2.7505443404223,0.468958122889605,0.308977024666491,1.49696072900326,-6.44705150859614,4.26923673781288
"full 2002-2019",8,0.792104671081145,0.348155624203372,0.0228972082376268,-1.70797127828041,2.69743744644814,0.526614207911568,7.74779224842409,2.71981269872855,0.357986334085386,0.109732181245007,1.47447716091728,-6.99485156557069,3.57890900900987
"full 2002-2019",9,0.646095422914597,0.41376596142881,0.118405895558387,-1.46975106372749,2.64472005906806,0.578395241848053,6.39182606982787,2.67689119346941,0.42928729132482,-0.164870965911259,1.45706181174045,-6.65330716957876,3.71380504212378
"full 2002-2019",10,0.61891820569234,0.431306697884227,0.151291660235903,-1.45062583436129,2.71145807177629,0.592650937074529,6.2866124849842,2.74554736667219,0.450980165815523,-0.226427395119621,1.4642638065043,-6.76498604255224,3.86373437382966
